video_id,angry,disgust,fear,happy,sad,surprise,neutral
1-Akvar6-24,0,0,0,0,0,0,0
1-JIpSl4MZQ,0,0,0,1,0,0,0
1-jkSE4h3BQ,1,0,0,0,0,0,0
1-mOfmTfvxw,0,0,0,0,2,0,0
101JqhFNcZ8,1,0,0,0,0,0,0
110ehapk_JM,0,0,0,0,0,0,0
112LqJtYy0o,0,0,0,1,0,0,0
11R8KO9t2bM,0,0,0,1,0,0,0
11umWACcISM,0,0,0,0,0,0,0
12hiQRYxcJ4,0,0,0,1,0,0,0
12TBTAHaAL0,0,0,0,0,0,0,1
132UeloDjIU,0,0,0,1,0,0,0
13iTnlgFs_A,1,0,0,1,0,0,0
14AtQGTNm6Q,1,0,1,1,1,0,0
14BMN0aTYfg,0,0,0,1,0,0,1
14CwaMYwVv4,0,0,0,0,0,0,0
14e8uVnr0nI,0,0,1,0,1,0,0
14lRHY7IZss,0,0,0,0,0,0,0
14M_Cu4r89E,0,0,0,1,0,0,0
14y4GvzRGUM,0,0,0,0,0,0,0
15fb_cmgBjY,0,0,0,0,0,0,0
164HxX7rtJI,1,0,0,1,1,0,0
16B775SeKVc,0,0,0,0,0,0,0
16UGgYekYl0,0,0,0,0,0,0,1
17MgdHw2KM4,0,0,1,0,0,0,0
17wT_2StvnM,0,0,1,0,0,0,0
19MHaswi5VQ,0,0,0,1,0,0,0
1AMusoU-j3w,0,0,0,0,0,0,1
1aoh8Z7q4pk,0,0,0,0,0,0,0
1AX9PuvTh74,0,0,0,1,0,0,0
1aYZxNoShzU,0,0,0,1,0,0,0
1b4eMD315bY,0,0,0,2,0,0,0
1bHHmTqRVUU,1,0,0,1,0,0,0
1bIcgWuWHeY,0,0,0,1,0,0,0
1BId_s9QzUg,0,0,0,0,0,0,0
1bUMvqGUSEw,0,0,0,0,0,1,1
1c0W-iGw32Y,0,0,0,0,0,0,0
1ci6dWHUEEk,1,0,0,0,1,0,1
1CKx34knssU,0,0,0,0,1,0,1
1CP0tH3Cwxo,0,0,0,1,0,0,0
1CR0QmCaMTs,0,0,0,0,0,0,0
1Cx7wElMW-4,0,0,0,0,0,0,0
1CyoksoQ4lI,0,0,0,2,0,0,0
1d0g2w-UoTE,0,0,0,4,0,0,0
1DJVxuY2Fxw,1,0,0,2,0,0,0
1DkNnG6vnWw,0,0,0,0,0,0,0
1DOnv_cIh14,0,0,1,0,0,0,0
1DYWrDIM1NY,0,0,0,0,0,0,0
1E6pT2P4_Lw,0,0,0,0,0,0,0
1el_tG3I8rE,1,0,0,0,0,0,0
1F9Yl3CAwZQ,0,0,0,1,0,0,0
1fcFxsI4Gss,0,0,0,0,1,0,0
1FeXdUYfh3E,0,0,0,1,0,0,1
1Fr2qZGbVjQ,0,0,0,0,0,0,0
1fVhqlADxbk,0,0,0,1,0,0,0
1g4CiINEhRc,0,0,0,0,0,0,1
1GGTBIY3xbE,0,0,0,2,1,0,0
1gjjvalD_UA,1,0,0,1,0,0,1
1GL35T21k54,0,0,0,0,0,0,0
1GqJeRPXxSs,0,0,0,0,0,0,1
1GrNv3ow9H8,0,0,0,0,0,0,0
1gV32w9x3sk,0,0,0,0,0,0,0
1gXx_WVk_SE,0,0,0,0,0,0,0
1h8PeYDnna4,0,0,0,0,0,0,0
1hC-9yH4KG8,0,0,0,0,0,0,0
1HgITh8Vx14,0,0,0,0,0,0,0
1hMMINaIh5w,0,0,0,0,0,0,0
1hVja9gDaJM,0,0,0,0,0,0,0
