video_id,angry,disgust,fear,happy,sad,surprise,neutral
2kCbFmjEi6A,0,0,0,0,0,0,0
2kfIkm5qVsQ,0,0,0,0,0,0,0
2kpJ4GbVvNc,0,0,0,0,0,0,0
2ktuvx9hrMw,0,0,0,0,0,0,0
2KuqjW0WtZg,0,0,0,0,0,0,0
2kyS6SvSYSE,0,0,0,0,0,0,0
2lCW-iaOZ_M,0,0,0,0,0,0,0
2lyQj9M2MhY,0,0,0,0,0,0,0
2m2HLU5uVwg,0,0,0,0,0,0,0
2MiQonPvlVM,0,0,0,0,0,0,1
2mrOcJNPxEc,0,0,0,0,0,0,0
2MxAwOC_o5w,0,0,0,0,0,0,0
2nJ3U5dzvPs,0,0,0,0,0,0,0
2NlNEj2mCIg,0,0,0,0,0,0,0
2Nlo2ekTRvI,0,0,0,0,0,0,0
2NpetP71B1o,0,0,0,0,0,0,0
2nshBD9EbxE,0,0,0,0,0,0,0
2nSXgn68gPQ,0,0,0,0,0,0,0
2nUW3nIOOOg,0,0,0,0,0,0,0
2nVPFdqejD0,0,0,0,0,0,0,0
2P6dG-csseU,0,0,0,0,0,0,0
2PH7dK6SLC8,0,0,0,0,0,0,1
2pJlpCfueV0,0,0,0,0,0,0,0
2PQCLZbzxq8,0,0,0,0,0,0,1
2pVHOaT9CZ4,0,0,0,0,0,0,0
2QHltvwTjSk,0,0,0,0,0,0,0
2QK6Usg2KT0,0,0,0,0,0,0,0
2QMjAiy_2t8,0,0,0,0,0,0,0
2qzrjzN5ns0,0,0,0,0,1,0,0
2rx8VHNG-DE,1,0,0,0,0,0,0
2r_nGjgqPE0,0,0,0,0,0,0,0
2S2qtGisT34,0,0,0,0,0,0,0
2SJ0hgdciNE,0,0,0,0,0,0,0
2sxuAm569IY,0,0,0,0,0,0,0
2TCHVvJ73kM,0,0,0,0,0,0,0
2tDKp41nrw8,0,0,0,0,0,0,0
2TfXp8KDvKw,0,0,0,0,0,0,0
2TQAP-uAN9I,0,0,0,0,0,0,0
2UByqalCfnk,0,0,0,0,1,0,0
2UmRhLA3Qzk,0,0,0,0,0,0,0
2UPIKvHp_m8,0,0,0,0,0,0,0
2v34qDKvLqM,0,0,0,0,0,0,0
2v4-L4PkV9U,0,0,0,0,0,0,0
2VggEmXPnGw,0,0,0,0,0,0,0
2vJDniqV8V4,0,0,0,0,0,0,0
2Vm27xL57O0,0,0,0,0,0,0,0
2VP846QcA_4,0,0,0,0,0,0,1
2vPw8QbzFTo,0,0,0,0,0,0,0
2vQ_fnlvvr8,0,0,0,0,0,0,0
2Vv-BfVoq4g,0,0,0,0,0,0,0
2wbc8x-RHiY,0,0,0,1,0,0,0
2WHcBwq2wHc,0,0,0,0,0,0,0
2wJESCSvFU8,0,0,0,0,0,0,0
2X5fG1A4kuc,0,0,0,0,1,0,0
2X9eJF1nLiY,0,0,0,0,0,0,0
2XK4omx9uMU,0,0,0,0,0,0,0
2XLw9U7Z1CM,0,0,0,0,0,0,0
2XPF3Snm9JE,0,0,0,0,0,0,0
2XQft9iwSqg,0,0,0,0,0,0,0
2XQPTtTv_O4,0,0,0,0,0,0,0
2Xyf_PCf7lc,0,0,0,0,0,0,0
2Yb_VA4L3YU,0,0,0,0,0,0,0
2yCp-Dj5-7c,0,0,0,0,1,0,0
2YVMusIxisY,0,0,0,0,0,0,0
2Yz_kqxegrs,0,0,0,1,0,0,0
2z3EUY1aXdY,0,0,0,0,0,0,0
2Z3yeFZyCjI,0,0,0,0,0,0,1
2z870cifG_A,0,0,0,0,0,0,0
2Zvmi5BzDbs,0,0,0,0,0,0,0
2_dkBgK4Mbk,0,0,0,0,0,0,0
2_DRBnV4nGY,0,0,0,0,0,0,0
2_fUmjfzh1Y,0,0,0,0,0,0,0
30HOemteiKQ,0,0,0,0,0,0,0
30TkClWvT5k,0,0,0,0,0,0,0
30UjfElERlc,0,0,0,0,0,0,0
31Fbv9qRV7s,0,0,0,0,0,0,0
31mjfjIkWiM,0,0,0,1,0,0,0
31OMf1H5Rk0,0,0,0,0,0,0,0
32YGGYaUTgE,0,0,0,0,0,0,0
342Cqk9ew58,0,0,0,0,0,0,1
34By94AKkZE,0,0,0,0,0,0,1
34cHO5_LX9g,0,0,0,0,0,0,0
34gHoxqZlJc,0,0,0,0,0,0,0
34mNW4YSJhw,0,0,0,0,0,0,0
34yQnVJDTt8,0,0,0,0,0,0,0
35aEjj8C4Cg,0,0,1,0,0,0,0
35m4leH72dA,0,0,0,0,0,0,0
36DAv_m8Mlw,0,0,0,0,0,0,0
36PDeN9NRZ0,0,0,0,0,0,0,0
36QMyiRAv-Y,0,0,0,0,0,0,0
36tggrpRoTI,0,0,0,0,0,0,0
36YFQTFzZwU,0,0,0,0,0,0,0
37lXjnflt9M,0,0,0,0,1,0,0
37R2_bvJjGM,0,0,0,0,0,0,1
37xIzAWyO8I,0,0,0,0,0,0,1
37z3bfXu3BA,0,0,0,0,0,0,0
38dYSj3F-Lo,1,0,0,0,0,0,0
38I1jsA91iQ,0,0,0,0,0,0,0
391JeKrI30w,0,0,0,0,0,0,0
